museum,diff,num_posts,type
pennmuseum,-16.6742525,7335,History Museum
magicgardens,-9.922006657,41029,Art Gallery
nationallibertymuseum,-8.533594396,1399,History Museum
woodmereartmuseum,-6.452081449,1354,Art Museum
barnesfoundation,-5.234332846,18848,Art Museum
easternstatepenitentiary,-3.940983615,65932,History Museum
pennsylvaniaacademyofthefinearts,-2.312370507,1469,Art Museum
independenceseaportmuseum,-0.87522121,1036,Specialty Museum
betsyrosshouse,0.459408368,3959,Sight/Landmark
centerforartinwood,1.285983916,1561,Specialty Museum
pleasetouchmuseum,1.366406932,26202,Specialty Museum
museumoftheamericanrevolution,2.445914078,1706,History Museum
franklininstitute,2.723998897,54862,Science Museum
philadelphiamuseumofart,5.85732435,65825,Art Museum
instituteofcontemporaryart,10.5609099,5507,Art Museum
